original_folder_name,cleaned_folder_name,original_file_name,cleaned_file_name,slug,alt_text,download_link
Celebrity Photos,Celebrity_Photos,Virginia Madsen_CRW_7613_web.jpg,Virginia_Madsen_CRW_7613_web.jpg,virginia-madsen-crw-7613-web,Virginia Madsen Crw 7613 Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Virginia_Madsen_CRW_7613_web.jpg
Celebrity_Photos,Celebrity_Photos,1-kirk_douglas.jpg,1-kirk_douglas.jpg,1-kirk-douglas,1-Kirk Douglas,https://hbapi.leeseaver.com/processed/Celebrity_Photos/1-kirk_douglas.jpg
Celebrity_Photos,Celebrity_Photos,1-PIERCE_BROSNAN-NEW.jpg,1-PIERCE_BROSNAN-NEW.jpg,1-pierce-brosnan-new,1-Pierce Brosnan-New,https://hbapi.leeseaver.com/processed/Celebrity_Photos/1-PIERCE_BROSNAN-NEW.jpg
Celebrity_Photos,Celebrity_Photos,1_Fran_dresher_bora_bora.jpg,1_Fran_dresher_bora_bora.jpg,1-fran-dresher-bora-bora,1 Fran Dresher Bora Bora,https://hbapi.leeseaver.com/processed/Celebrity_Photos/1_Fran_dresher_bora_bora.jpg
Celebrity_Photos,Celebrity_Photos,3-michele_phillips.jpg,3-michele_phillips.jpg,3-michele-phillips,3-Michele Phillips,https://hbapi.leeseaver.com/processed/Celebrity_Photos/3-michele_phillips.jpg
Celebrity_Photos,Celebrity_Photos,3-pierce_&_keely_.jpg,3-pierce_&_keely_.jpg,3-pierce--keely-,3-Pierce & Keely ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/3-pierce_&_keely_.jpg
Celebrity_Photos,Celebrity_Photos,alana_ubach.jpg,alana_ubach.jpg,alana-ubach,Alana Ubach,https://hbapi.leeseaver.com/processed/Celebrity_Photos/alana_ubach.jpg
Celebrity_Photos,Celebrity_Photos,Anthony_Quinn_and_Francesco_Quinn.jpg,Anthony_Quinn_and_Francesco_Quinn.jpg,anthony-quinn-and-francesco-quinn,Anthony Quinn And Francesco Quinn,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Anthony_Quinn_and_Francesco_Quinn.jpg
Celebrity_Photos,Celebrity_Photos,Antonio_Bandera_V2_web.jpg,Antonio_Bandera_V2_web.jpg,antonio-bandera-v2-web,Antonio Bandera V2 Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Antonio_Bandera_V2_web.jpg
Celebrity_Photos,Celebrity_Photos,BRESHA_.jpg,BRESHA_.jpg,bresha-,Bresha ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/BRESHA_.jpg
Celebrity_Photos,Celebrity_Photos,Burt_Reynolds.jpg,Burt_Reynolds.jpg,burt-reynolds,Burt Reynolds,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Burt_Reynolds.jpg
Celebrity_Photos,Celebrity_Photos,Burt_Reynolds_03.jpg,Burt_Reynolds_03.jpg,burt-reynolds-03,Burt Reynolds 03,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Burt_Reynolds_03.jpg
Celebrity_Photos,Celebrity_Photos,Burt_reynolds_1.jpg,Burt_reynolds_1.jpg,burt-reynolds-1,Burt Reynolds 1,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Burt_reynolds_1.jpg
Celebrity_Photos,Celebrity_Photos,Caprice.jpg,Caprice.jpg,caprice,Caprice,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Caprice.jpg
Celebrity_Photos,Celebrity_Photos,CATHERINE_OXENBERG_&_HUSBAND_v2.jpg,CATHERINE_OXENBERG_&_HUSBAND_v2.jpg,catherine-oxenberg--husband-v2,Catherine Oxenberg & Husband V2,https://hbapi.leeseaver.com/processed/Celebrity_Photos/CATHERINE_OXENBERG_&_HUSBAND_v2.jpg
Celebrity_Photos,Celebrity_Photos,charlie_rocket_2_b.jpg,charlie_rocket_2_b.jpg,charlie-rocket-2-b,Charlie Rocket 2 B,https://hbapi.leeseaver.com/processed/Celebrity_Photos/charlie_rocket_2_b.jpg
Celebrity_Photos,Celebrity_Photos,charlie_rocket_a.jpg,charlie_rocket_a.jpg,charlie-rocket-a,Charlie Rocket A,https://hbapi.leeseaver.com/processed/Celebrity_Photos/charlie_rocket_a.jpg
Celebrity_Photos,Celebrity_Photos,Cheryl_Tiegs.jpg,Cheryl_Tiegs.jpg,cheryl-tiegs,Cheryl Tiegs,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Cheryl_Tiegs.jpg
Celebrity_Photos,Celebrity_Photos,Cristopher_G_5366___web.jpg,Cristopher_G_5366___web.jpg,cristopher-g-5366---web,Cristopher G 5366   Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Cristopher_G_5366___web.jpg
Celebrity_Photos,Celebrity_Photos,denise_richards_3.jpg,denise_richards_3.jpg,denise-richards-3,Denise Richards 3,https://hbapi.leeseaver.com/processed/Celebrity_Photos/denise_richards_3.jpg
Celebrity_Photos,Celebrity_Photos,Donna_Mills.jpg,Donna_Mills.jpg,donna-mills,Donna Mills,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Donna_Mills.jpg
Celebrity_Photos,Celebrity_Photos,Don_Cheadle(1).jpg,Don_Cheadle(1).jpg,don-cheadle1,Don Cheadle(1),https://hbapi.leeseaver.com/processed/Celebrity_Photos/Don_Cheadle(1).jpg
Celebrity_Photos,Celebrity_Photos,Don_Cheadle.jpg,Don_Cheadle.jpg,don-cheadle,Don Cheadle,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Don_Cheadle.jpg
Celebrity_Photos,Celebrity_Photos,Englebert_Humperdinck_0265_AI_Web.jpg,Englebert_Humperdinck_0265_AI_Web.jpg,englebert-humperdinck-0265-ai-web,Englebert Humperdinck 0265 Ai Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Englebert_Humperdinck_0265_AI_Web.jpg
Celebrity_Photos,Celebrity_Photos,Faye_Dunaway_1.jpg,Faye_Dunaway_1.jpg,faye-dunaway-1,Faye Dunaway 1,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Faye_Dunaway_1.jpg
Celebrity_Photos,Celebrity_Photos,Fran_Drescher.jpg,Fran_Drescher.jpg,fran-drescher,Fran Drescher,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Fran_Drescher.jpg
Celebrity_Photos,Celebrity_Photos,harry_hamlin_2.jpg,harry_hamlin_2.jpg,harry-hamlin-2,Harry Hamlin 2,https://hbapi.leeseaver.com/processed/Celebrity_Photos/harry_hamlin_2.jpg
Celebrity_Photos,Celebrity_Photos,Heather_Lockllear.jpg,Heather_Lockllear.jpg,heather-lockllear,Heather Lockllear,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Heather_Lockllear.jpg
Celebrity_Photos,Celebrity_Photos,Henry_Thomas.jpg,Henry_Thomas.jpg,henry-thomas,Henry Thomas,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Henry_Thomas.jpg
Celebrity_Photos,Celebrity_Photos,jada_pinkett_.jpg,jada_pinkett_.jpg,jada-pinkett-,Jada Pinkett ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/jada_pinkett_.jpg
Celebrity_Photos,Celebrity_Photos,James_Wood.jpg,James_Wood.jpg,james-wood,James Wood,https://hbapi.leeseaver.com/processed/Celebrity_Photos/James_Wood.jpg
Celebrity_Photos,Celebrity_Photos,jane_seymour.jpg,jane_seymour.jpg,jane-seymour,Jane Seymour,https://hbapi.leeseaver.com/processed/Celebrity_Photos/jane_seymour.jpg
Celebrity_Photos,Celebrity_Photos,jane_seymour_.jpg,jane_seymour_.jpg,jane-seymour-,Jane Seymour ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/jane_seymour_.jpg
Celebrity_Photos,Celebrity_Photos,jane_seymour_2.jpg,jane_seymour_2.jpg,jane-seymour-2,Jane Seymour 2,https://hbapi.leeseaver.com/processed/Celebrity_Photos/jane_seymour_2.jpg
Celebrity_Photos,Celebrity_Photos,Jane_Seymour_and_Son_Johnny_Keach__v2.jpg,Jane_Seymour_and_Son_Johnny_Keach__v2.jpg,jane-seymour-and-son-johnny-keach--v2,Jane Seymour And Son Johnny Keach  V2,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Jane_Seymour_and_Son_Johnny_Keach__v2.jpg
Celebrity_Photos,Celebrity_Photos,jane_Seymour_Bath_England_web.jpg,jane_Seymour_Bath_England_web.jpg,jane-seymour-bath-england-web,Jane Seymour Bath England Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/jane_Seymour_Bath_England_web.jpg
Celebrity_Photos,Celebrity_Photos,Jean_Reno.jpg,Jean_Reno.jpg,jean-reno,Jean Reno,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Jean_Reno.jpg
Celebrity_Photos,Celebrity_Photos,Jenny_Garth_web.jpg,Jenny_Garth_web.jpg,jenny-garth-web,Jenny Garth Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Jenny_Garth_web.jpg
Celebrity_Photos,Celebrity_Photos,Johnny_depp_web.jpg,Johnny_depp_web.jpg,johnny-depp-web,Johnny Depp Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Johnny_depp_web.jpg
Celebrity_Photos,Celebrity_Photos,Kevin_Sorbo_015.jpg,Kevin_Sorbo_015.jpg,kevin-sorbo-015,Kevin Sorbo 015,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Kevin_Sorbo_015.jpg
Celebrity_Photos,Celebrity_Photos,Kim_kattrel_v2_.jpg,Kim_kattrel_v2_.jpg,kim-kattrel-v2-,Kim Kattrel V2 ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Kim_kattrel_v2_.jpg
Celebrity_Photos,Celebrity_Photos,Kirk_Douglas.jpg,Kirk_Douglas.jpg,kirk-douglas,Kirk Douglas,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Kirk_Douglas.jpg
Celebrity_Photos,Celebrity_Photos,Larry_Wilcox119.jpg,Larry_Wilcox119.jpg,larry-wilcox119,Larry Wilcox119,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Larry_Wilcox119.jpg
Celebrity_Photos,Celebrity_Photos,LINDA_GRAY_.jpg,LINDA_GRAY_.jpg,linda-gray-,Linda Gray ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/LINDA_GRAY_.jpg
Celebrity_Photos,Celebrity_Photos,lisa_Kudrow__0020_web.jpg,lisa_Kudrow__0020_web.jpg,lisa-kudrow--0020-web,Lisa Kudrow  0020 Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/lisa_Kudrow__0020_web.jpg
Celebrity_Photos,Celebrity_Photos,marla_maples.jpg,marla_maples.jpg,marla-maples,Marla Maples,https://hbapi.leeseaver.com/processed/Celebrity_Photos/marla_maples.jpg
Celebrity_Photos,Celebrity_Photos,Michael_Saucedo_1_copy.jpg,Michael_Saucedo_1_copy.jpg,michael-saucedo-1-copy,Michael Saucedo 1 Copy,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Michael_Saucedo_1_copy.jpg
Celebrity_Photos,Celebrity_Photos,mickey_rourke_v2__copy.jpg,mickey_rourke_v2__copy.jpg,mickey-rourke-v2--copy,Mickey Rourke V2  Copy,https://hbapi.leeseaver.com/processed/Celebrity_Photos/mickey_rourke_v2__copy.jpg
Celebrity_Photos,Celebrity_Photos,Morgan_Freeman.jpg,Morgan_Freeman.jpg,morgan-freeman,Morgan Freeman,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Morgan_Freeman.jpg
Celebrity_Photos,Celebrity_Photos,paris_hilton_new_.jpg,paris_hilton_new_.jpg,paris-hilton-new-,Paris Hilton New ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/paris_hilton_new_.jpg
Celebrity_Photos,Celebrity_Photos,Paul_rodriguez_web.jpg,Paul_rodriguez_web.jpg,paul-rodriguez-web,Paul Rodriguez Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Paul_rodriguez_web.jpg
Celebrity_Photos,Celebrity_Photos,PIERCE_BROSNAN_1.jpg,PIERCE_BROSNAN_1.jpg,pierce-brosnan-1,Pierce Brosnan 1,https://hbapi.leeseaver.com/processed/Celebrity_Photos/PIERCE_BROSNAN_1.jpg
Celebrity_Photos,Celebrity_Photos,regina_king.jpg,regina_king.jpg,regina-king,Regina King,https://hbapi.leeseaver.com/processed/Celebrity_Photos/regina_king.jpg
Celebrity_Photos,Celebrity_Photos,scott_glenn_v3_.jpg,scott_glenn_v3_.jpg,scott-glenn-v3-,Scott Glenn V3 ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/scott_glenn_v3_.jpg
Celebrity_Photos,Celebrity_Photos,Selena_Perez.JPG,Selena_Perez.JPG,selena-perez,Selena Perez,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Selena_Perez.JPG
Celebrity_Photos,Celebrity_Photos,sharon_stone.jpg,sharon_stone.jpg,sharon-stone,Sharon Stone,https://hbapi.leeseaver.com/processed/Celebrity_Photos/sharon_stone.jpg
Celebrity_Photos,Celebrity_Photos,Stacy_Keach_6603_web.jpg,Stacy_Keach_6603_web.jpg,stacy-keach-6603-web,Stacy Keach 6603 Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Stacy_Keach_6603_web.jpg
Celebrity_Photos,Celebrity_Photos,Steven_Seagal_and_Kelly_Lebrock.jpg,Steven_Seagal_and_Kelly_Lebrock.jpg,steven-seagal-and-kelly-lebrock,Steven Seagal And Kelly Lebrock,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Steven_Seagal_and_Kelly_Lebrock.jpg
Celebrity_Photos,Celebrity_Photos,Terry_Fator_337_websize_copy.jpg,Terry_Fator_337_websize_copy.jpg,terry-fator-337-websize-copy,Terry Fator 337 Websize Copy,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Terry_Fator_337_websize_copy.jpg
Celebrity_Photos,Celebrity_Photos,Terry_Fator_Cadillac_websize.jpg,Terry_Fator_Cadillac_websize.jpg,terry-fator-cadillac-websize,Terry Fator Cadillac Websize,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Terry_Fator_Cadillac_websize.jpg
Celebrity_Photos,Celebrity_Photos,Tia_Carrere_v3_.jpg,Tia_Carrere_v3_.jpg,tia-carrere-v3-,Tia Carrere V3 ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Tia_Carrere_v3_.jpg
Celebrity_Photos,Celebrity_Photos,tom_selleck_.jpg,tom_selleck_.jpg,tom-selleck-,Tom Selleck ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/tom_selleck_.jpg
Celebrity_Photos,Celebrity_Photos,Vanessa_Incontrada.jpg,Vanessa_Incontrada.jpg,vanessa-incontrada,Vanessa Incontrada,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Vanessa_Incontrada.jpg
Celebrity_Photos,Celebrity_Photos,Virginia_Madsen_CRW_7603_web.jpg,Virginia_Madsen_CRW_7603_web.jpg,virginia-madsen-crw-7603-web,Virginia Madsen Crw 7603 Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Virginia_Madsen_CRW_7603_web.jpg
Celebrity_Photos,Celebrity_Photos,Virginia_Madsen_CRW_7613_web.jpg,Virginia_Madsen_CRW_7613_web.jpg,virginia-madsen-crw-7613-web,Virginia Madsen Crw 7613 Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Virginia_Madsen_CRW_7613_web.jpg
